,Unnamed: 0,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z,donor,sample,position_along_hipp_AP_axis
23,559,4251,14,5841,CX,S,"subiculum, left",1007816,114,99,103,-22.0,-29.3,-8.8,-24.505261023939696,-28.683210571554696,-10.597178860532699,10021,560,98
24,561,4267,14,5825,CX,DG,"dentate gyrus, right",1009274,69,106,94,28.4,-18.9,-17.9,30.378493485701103,-19.658867630443197,-19.1700819292586,10021,562,107
25,562,4266,14,5817,CX,CA4,"CA4 field, right",1009275,68,106,94,29.5,-18.9,-17.9,31.639286835340094,-19.4606627665742,-19.1158989539267,10021,563,107
26,563,4265,14,5809,CX,CA3,"CA3 field, right",1009273,67,106,94,30.6,-18.9,-17.9,32.89856757095411,-19.3047553806402,-19.0884514678912,10021,564,107
27,564,4264,14,5801,CX,CA2,"CA2 field, right",1009276,65,105,94,32.9,-18.8,-16.7,35.50092887491791,-18.861229174629397,-17.764363608247002,10021,565,107
28,565,4263,14,5793,CX,CA1,"CA1 field, right",1009277,65,107,94,32.9,-18.9,-19.0,35.39235731553261,-19.295419401988198,-20.4771783039495,10021,566,107
29,566,4260,14,5785,CX,S,"subiculum, right",1009278,73,108,94,23.9,-19.1,-20.2,25.427167706458807,-20.09042740473789,-21.701029686213303,10021,567,106
30,647,4267,13,7065,CX,DG,"dentate gyrus, right",1025587,71,106,91,26.1,-15.7,-18.2,27.694690610730802,-16.9244480511335,-19.636356541528606,10021,648,109
31,729,4265,16,7376,CX,CA3,"CA3 field, right",1032337,80,99,108,16.2,-34.1,-8.3,18.191103488315,-33.560473387906896,-8.98314534318963,10021,730,93
32,735,4256,16,7421,CX,CA3,"CA3 field, left",1025259,116,95,111,-24.2,-37.9,-3.3,-27.315603648912607,-38.7630486967457,-5.49340593610225,10021,736,91
33,753,4264,16,7368,CX,CA2,"CA2 field, right",1032306,76,98,108,20.7,-34.0,-7.1,22.754570585195694,-33.3653792735362,-7.83518037240718,10021,754,93
34,780,4254,16,7405,CX,CA1,"CA1 field, left",1025261,116,98,112,-24.1,-39.1,-6.7,-26.643432534194893,-39.9687852681123,-8.970303806882841,10021,781,91
35,781,4255,16,7413,CX,CA2,"CA2 field, left",1025260,118,95,112,-26.4,-39.1,-3.2,-29.131239903234896,-40.0881753111416,-5.70977851790314,10021,782,89
36,782,4257,16,7429,CX,CA4,"CA4 field, left",1025284,115,96,111,-23.0,-37.9,-4.5,-26.140404326264896,-38.63926450818779,-6.59187622661825,10021,783,91
37,783,4258,16,7437,CX,DG,"dentate gyrus, left",1025285,114,96,111,-21.9,-37.9,-4.5,-25.095828721354998,-38.2533526570001,-6.317119891657961,10021,784,91
38,793,4251,16,7397,CX,S,"subiculum, left",1025262,111,98,110,-18.5,-36.9,-6.9,-21.7146187099972,-35.77392886244429,-7.94797155553282,10021,794,91
39,871,4264,13,7073,CX,CA2,"CA2 field, right",1025580,70,103,91,27.2,-15.6,-14.6,28.8596828623106,-16.889587610695,-16.105829961133498,10021,872,107
40,872,4266,13,7081,CX,CA4,"CA4 field, right",1025582,70,106,91,27.2,-15.7,-18.2,28.936770432237488,-16.6694014816244,-19.4977144527938,10021,873,109
41,875,4256,13,7010,CX,CA3,"CA3 field, left",1029979,117,102,92,-25.5,-17.5,-13.4,-27.661061987719197,-17.6157031393003,-15.5289129730939,10021,876,108
42,887,4260,13,7009,CX,S,"subiculum, right",1026201,75,110,91,21.7,-15.9,-22.9,22.7741685763802,-16.8249032526187,-24.6313966782626,10021,888,109
43,888,4263,13,7017,CX,CA1,"CA1 field, right",1025579,75,104,91,21.6,-15.7,-15.8,22.3581440236662,-18.197153572931,-17.3263046768073,10021,889,108
44,1016,4258,8,13762,CX,DG,"dentate gyrus, left",1288532,123,108,126,-32.0,-35.0,1.0,-26.206096196112398,-38.9880440138922,-1.99212989551472,12876,124,88
45,1017,4257,8,13754,CX,CA4,"CA4 field, left",1288537,124,107,126,-33.0,-35.0,2.0,-27.0702366552578,-38.7640687425129,-0.838839736475002,12876,125,88
46,1018,4254,8,13730,CX,CA1,"CA1 field, left",1288898,130,112,126,-39.0,-35.0,-3.0,-32.6291313206604,-38.66201894143921,-4.72223672798617,12876,126,89
47,1027,4258,7,13721,CX,DG,"dentate gyrus, left",1278237,121,123,111,-30.0,-20.0,-14.0,-27.7634191784728,-22.5526975256674,-14.6768421430089,12876,135,104
48,1028,4255,7,13697,CX,CA2,"CA2 field, left",1278251,123,121,111,-32.0,-20.0,-12.0,-29.472951507364396,-22.5931623085896,-12.764643450829999,12876,136,103
49,1029,4254,7,13689,CX,CA1,"CA1 field, left",1278252,127,124,111,-36.0,-20.0,-15.0,-33.3809897460399,-22.676629190351488,-15.3250160424737,12876,137,104
50,1073,4256,8,13746,CX,CA3,"CA3 field, left",1288533,123,106,126,-32.0,-35.0,3.0,-26.117554866294398,-38.8252376584672,-0.0516245237556929,12876,181,88
