x,y,z,ind,surface
57,99,64,110,1.0
57,99,65,121,1.0
57,100,56,118,1.0
57,100,57,118,1.0
57,100,58,118,0.0
57,100,59,164,0.0
57,100,60,164,0.0
57,100,61,110,0.0
57,100,62,110,0.0
57,100,63,110,0.0
57,100,64,110,1.0
57,100,65,121,1.0
57,101,55,118,1.0
57,101,56,118,1.0
57,101,57,118,0.0
57,101,58,118,0.0
57,101,59,118,0.0
57,101,60,164,0.0
57,101,61,110,0.0
57,101,62,110,0.0
57,101,63,110,1.0
57,101,64,110,1.0
57,102,54,26,1.0
57,102,55,118,1.0
57,102,56,118,0.0
57,102,57,118,0.0
