,probe_ind,ant-post,step,gene_symbol
441,2460,posterior,2,HTR2C
442,2456,posterior,2,HTR2C
443,2450,posterior,2,HTR2C
444,2463,posterior,2,HTR2C
445,46696,posterior,2,HTR2C
446,46731,posterior,2,HTR2C
447,2461,posterior,2,HTR2C
448,2459,posterior,2,HTR2C
449,46737,posterior,2,HTR2C
450,4407,anterior,2,PDYN
451,4408,anterior,2,PDYN
452,33412,anterior,2,OPRK1
453,11928,anterior,2,RGS22
454,18302,anterior,2,ARSJ
455,4412,anterior,2,PDYN
456,32124,anterior,2,ARHGAP6
457,55894,anterior,2,A_24_P17052
458,10196,anterior,2,FAM12A
459,2727,anterior,2,JUN
460,30071,anterior,2,DAPL1
461,42155,anterior,2,SMAD9
462,40178,anterior,2,HRH1
463,6793,anterior,2,TGFBR3
464,4410,anterior,2,PDYN
465,4406,anterior,2,PDYN
466,20862,anterior,2,CPXM2
467,2079,anterior,2,GRP
468,40345,anterior,2,AC106818.2
469,19574,anterior,2,MEGF11
470,10881,anterior,2,SORCS3
471,10108,anterior,2,IQGAP2
472,3007,anterior,2,IGFBP5
473,57631,anterior,2,MARCH1
474,43445,anterior,2,AL589765.4
475,37902,anterior,2,KLK5
476,11492,anterior,2,RFTN1
477,48442,anterior,2,A_32_P159126
478,46513,anterior,2,SLC18A2
479,5587,anterior,2,S100A10
480,31908,anterior,2,RARRES1
481,40395,anterior,2,GABRA2
482,37101,anterior,2,FRMPD2
483,56406,anterior,2,A_32_P133980
484,40342,anterior,2,AC106818.2
485,8441,anterior,2,SLIT2
486,1173,anterior,2,ETV1
487,36324,anterior,2,AC002563.2
488,39345,anterior,2,FOSB
489,4501,anterior,2,PIK3CD
490,52489,anterior,2,A_32_P346000
491,8544,anterior,2,PTGES
492,6532,anterior,2,TRHR
493,28063,anterior,2,ATP11C
494,4386,anterior,2,NPTX1
495,56581,anterior,2,A_24_P617427
496,10882,anterior,2,SORCS3
497,11943,anterior,2,NTSR2
498,50923,anterior,2,DCBLD1
499,3403,anterior,2,MET
500,41749,posterior,2,GABRA1
501,27067,posterior,2,KCNK2
502,29148,posterior,2,GRIK1
503,33245,posterior,2,CHN2
504,46877,posterior,2,GABRB2
505,54756,posterior,2,A_24_P759647
506,203,posterior,2,CDH15
507,27242,posterior,2,CAMKK2
508,27028,posterior,2,OSBPL3
509,27225,posterior,2,BCL11B
510,46733,posterior,2,HTR2C
511,42673,posterior,2,GABRA1
512,40849,posterior,2,LPO
513,14157,posterior,2,DIRAS2
514,2447,posterior,2,HTR2C
515,45892,posterior,2,GRIK1
516,52295,posterior,2,A_32_P17525
517,35193,posterior,2,KIAA1456
518,5358,posterior,2,ROM1
519,53093,posterior,2,A_32_P104448
520,12438,posterior,2,KCNH5
521,42966,posterior,2,KIAA0748
522,22392,posterior,2,RDH10
523,46735,posterior,2,HTR2C
524,871,posterior,2,CRH
525,44761,posterior,2,AIRE
526,52861,posterior,2,A_32_P38745
527,29411,posterior,2,PMEPA1
528,58456,posterior,2,A_32_P99399
529,40780,posterior,2,GABRA1
530,2442,posterior,2,HTR2C
531,25016,posterior,2,C17orf76
532,27135,posterior,2,RBPMS2
533,53741,posterior,2,A_32_P137382
534,46401,posterior,2,CARTPT
535,15647,posterior,2,CYP26B1
536,8684,posterior,2,CARTPT
537,40043,posterior,2,VASH2
538,35770,posterior,2,AC073135.1
539,48296,posterior,2,A_32_P168561
540,17114,posterior,2,EFHD2
541,24514,posterior,2,SYT10
542,8683,posterior,2,CARTPT
543,1026,posterior,2,E2F1
544,17591,posterior,2,CNTNAP3
545,47589,posterior,2,A_24_P247576
546,57515,posterior,2,A_32_P203232
547,2454,posterior,2,HTR2C
548,35914,posterior,2,VASH2
549,24702,posterior,2,NPAS4
550,32963,anterior,2,ADAMTSL1
551,13763,anterior,2,CLDN20
552,32688,anterior,2,APLNR
553,41117,anterior,2,POSTN
554,33442,anterior,2,FLJ38379
555,3153,anterior,2,INSM1
556,4401,anterior,2,PDYN
557,8270,anterior,2,GALR2
558,21805,anterior,2,LYPD6B
559,22937,anterior,2,DNAH12
560,50152,anterior,2,A_32_P106615
561,49718,anterior,2,A_23_P104484
562,4400,anterior,2,PDYN
563,41001,anterior,2,CA10
564,12303,anterior,2,MOXD1
565,45704,anterior,2,HTR3A
566,4399,anterior,2,PDYN
567,14322,anterior,2,FXYD6
568,21303,anterior,2,TMEM132D
569,40349,anterior,2,AC106818.2
570,28116,anterior,2,TP53I3
571,14409,anterior,2,WNT4
572,8993,anterior,2,PAGE4
573,35543,anterior,2,DGKG
574,25182,anterior,2,LOC392145
575,13516,anterior,2,TRPV2
576,32534,anterior,2,AC007601.1
577,31289,anterior,2,HTR1A
578,9781,anterior,2,SEMA3C
579,9712,anterior,2,PLXNC1
580,4385,anterior,2,NPTX1
581,14976,anterior,2,MARCH1
582,41515,anterior,2,COCH
583,199,anterior,2,CDH13
584,24731,anterior,2,SCARA5
585,46157,anterior,2,DNAJC5G
586,10107,anterior,2,IQGAP2
587,18782,anterior,2,COL21A1
588,36845,anterior,2,SMAD9
589,40433,anterior,2,ODZ2
590,7499,anterior,2,CXCR4
591,37008,anterior,2,VRK2
592,35161,anterior,2,CRNDE
593,32261,anterior,2,DIO3
594,51460,anterior,2,A_24_P92823
595,15472,anterior,2,GABRQ
596,21968,anterior,2,LAYN
597,50310,anterior,2,A_32_P143778
598,57947,anterior,2,A_23_P4341
599,34395,anterior,2,BDNF
600,50520,posterior,2,A_24_P12660
601,39708,posterior,3,GABRA1
602,19643,posterior,3,COL25A1
603,36714,posterior,3,RP11-291L15.2
604,43697,posterior,3,GABRA1
605,41088,posterior,3,GABRA1
606,54875,posterior,3,A_32_P136886
607,49963,posterior,3,STAU2
608,57283,posterior,3,CUST_3404_PI416261804
609,41365,posterior,3,GABRA1
610,22348,posterior,3,CPNE8
611,43148,posterior,3,LOC100127925
612,50946,posterior,3,RP11-392A22.2
613,25119,posterior,3,C6orf126
614,8681,posterior,3,CARTPT
615,2453,posterior,3,HTR2C
616,30864,posterior,3,MURC
617,1374,posterior,3,GABRA4
618,1580,posterior,3,GDF1
619,4069,posterior,3,NTS
620,58520,posterior,3,CUST_4511_PI416261804
621,53409,posterior,3,A_32_P233527
622,23898,posterior,3,EML3
623,40644,posterior,3,GABRA1
624,42998,posterior,3,GABRA1
625,31965,posterior,3,FPR2
626,18068,posterior,3,LIMD2
627,35847,posterior,3,GABRA1
628,27298,posterior,3,FCN2
629,28831,posterior,3,ADSSL1
630,45185,posterior,3,GABRA1
631,17648,posterior,3,OBFC1
632,25685,posterior,3,SEMA3E
633,43815,posterior,3,GABRA1
634,4247,posterior,3,PAM
635,8682,posterior,3,CARTPT
636,9365,posterior,3,ARHGEF17
637,40711,posterior,3,GABRA1
638,41644,posterior,3,GABRA1
639,41367,posterior,3,CTXN3
640,30161,posterior,3,RASGRP2
641,12437,posterior,3,KCNH5
642,40755,posterior,3,PLIN
643,8773,posterior,3,MAFB
644,40654,posterior,3,UNC13C
645,30090,posterior,3,SCRT1
646,46736,posterior,3,HTR2C
647,9530,posterior,3,NMUR1
648,43581,posterior,3,GABRA1
649,9882,posterior,3,SCGN
650,19907,anterior,3,DEPDC7
651,27609,anterior,3,HTR2A
652,38759,anterior,3,MGC4294
653,12517,anterior,3,RND1
654,30292,anterior,3,CXCL12
655,5784,anterior,3,SGCG
656,41946,anterior,3,PDE11A
657,4411,anterior,3,PDYN
658,25456,anterior,3,TMEM215
659,4404,anterior,3,PDYN
660,30070,anterior,3,DAPL1
661,8111,anterior,3,SYNGR3
662,46980,anterior,3,DRD5
663,23819,anterior,3,OTUD1
664,2549,anterior,3,HLA-DMB
665,46619,anterior,3,P2RX7
666,27608,anterior,3,HTR2A
667,22844,anterior,3,C6orf118
668,46786,anterior,3,GRP
669,13535,anterior,3,AMOTL2
670,31288,anterior,3,HTR1A
671,23352,anterior,3,NUDT10
672,3419,anterior,3,MMP3
673,12310,anterior,3,DAK
674,4355,anterior,3,NOV
675,37617,anterior,3,AC106818.2
676,8447,anterior,3,ITGBL1
677,36984,anterior,3,IFLTD1
678,46514,anterior,3,SLC18A2
679,44988,anterior,3,BHMT
680,11191,anterior,3,SATB2
681,54528,anterior,3,A_32_P194704
682,11991,anterior,3,SH3BP4
683,7633,anterior,3,CHRD
684,6778,anterior,3,TG
685,49788,anterior,3,A_24_P196351
686,13561,anterior,3,GULP1
687,25430,anterior,3,AC010974.2
688,27069,anterior,3,PLEKHG1
689,17124,anterior,3,IRX3
690,33419,anterior,3,CAPSL
691,10206,anterior,3,AC015936.3
692,20430,anterior,3,MARCH3
693,34381,anterior,3,GCNT1
694,43114,anterior,3,MYO7A
695,102,anterior,3,CD6
696,34629,anterior,3,SNED1
697,349,anterior,3,COL8A2
698,4356,anterior,3,NOV
699,41869,anterior,3,LNX1
700,52807,posterior,3,A_32_P217543
701,53627,posterior,3,A_23_P417646
702,22482,posterior,3,RHOXF1
703,46942,posterior,3,GABRA4
704,53222,posterior,3,A_24_P365349
705,10534,posterior,3,GALNT5
706,21666,posterior,3,C20orf132
707,18055,posterior,3,PRR7
708,7196,posterior,3,HIST1H2AC
709,34139,posterior,3,SYPL2
710,19407,posterior,3,MEX3B
711,47851,posterior,3,A_24_P535380
712,30855,posterior,3,SV2C
713,35257,posterior,3,SEC14L1
714,30555,posterior,3,CRYBA2
715,24595,posterior,3,ADAMTS6
716,37558,posterior,3,TMEM90A
717,10175,posterior,3,TSPAN9
718,55096,posterior,3,A_32_P202798
719,27479,posterior,3,TAC1
720,17345,posterior,3,SLC24A3
721,50359,posterior,3,A_32_P185029
722,14996,posterior,3,MOCOS
723,23210,posterior,3,SLC16A9
724,45877,posterior,3,NRP2
725,47035,posterior,3,CHRNA1
726,28966,posterior,3,GEFT
727,6738,posterior,3,TECTA
728,36074,posterior,3,ALPK1
729,3767,posterior,3,NEB
730,51629,posterior,3,A_24_P217063
731,54354,posterior,3,LOC338620
732,24755,posterior,3,FOXD4L3
733,6283,posterior,3,SLC6A6
734,47948,posterior,3,A_23_P10488
735,12281,posterior,3,EGFL6
736,8632,posterior,3,MAP3K13
737,6309,posterior,3,SLC9A2
738,40071,posterior,3,C4orf18
739,18056,posterior,3,PRR7
740,51362,posterior,3,A_23_P400041
741,14810,posterior,3,MCOLN3
742,45803,posterior,3,HTR7
743,8488,posterior,3,LIPG
744,30718,posterior,3,FNDC1
745,11360,posterior,3,ICMT
746,53626,posterior,3,A_23_P417646
747,34366,posterior,3,LOC100291956
748,25158,posterior,3,SRP14P1
749,9883,posterior,3,SCGN
750,45603,anterior,3,ATP6V1C2
751,16890,anterior,3,AC130454.1
752,32711,anterior,3,PTGER3
753,16055,anterior,3,TMEM159
754,21632,anterior,3,CHODL
755,8729,anterior,3,PPM1F
756,25912,anterior,3,GPR179
757,23380,anterior,3,FAM9B
758,45092,anterior,3,C21orf54
759,28164,anterior,3,OAS1
760,43157,anterior,3,AL359392.2
761,43994,anterior,3,BICC1
762,43847,anterior,3,C4ORF10
763,35768,anterior,3,BTNL8
764,50435,anterior,3,A_23_P370408
765,26396,anterior,3,PAX2
766,40301,anterior,3,NRG1
767,16131,anterior,3,SLAMF7
768,58680,anterior,3,A_32_P199824
769,26447,anterior,3,FBLN2
770,38894,anterior,3,ZMAT4
771,4628,anterior,3,PNMT
772,41344,anterior,3,DACT1
773,19700,anterior,3,FAM126A
774,53479,anterior,3,A_24_P932736
775,58059,anterior,3,A_24_P315014
776,29754,anterior,3,SYNJ2
777,20805,anterior,3,TWIST2
778,3123,anterior,3,IMPG1
779,19353,anterior,3,TRIM15
780,28305,anterior,3,PTGER3
781,15285,anterior,3,RBM22
782,27108,anterior,3,EGFR
783,38450,anterior,3,DACT1
784,56276,anterior,3,A_24_P511686
785,15970,anterior,3,C21orf62
786,8641,anterior,3,HTR3B
787,47144,anterior,3,A_24_P925615
788,24026,anterior,3,DOK7
789,26606,anterior,3,FOXP4
790,20319,anterior,3,C6orf142
791,36252,anterior,3,DUSP2
792,12855,anterior,3,RPA4
793,32866,anterior,3,OPN4
794,5039,anterior,3,RAB3B
795,45807,anterior,3,TH
796,6021,anterior,3,SNCG
797,8112,anterior,3,SYNGR3
798,56579,anterior,3,A_24_P617427
799,10782,anterior,3,LMTK2
800,1553,posterior,3,GBE1
801,26833,posterior,3,C14orf118
802,27243,posterior,3,CAMKK2
803,1271,posterior,3,F12
804,16552,posterior,3,KIAA1456
805,46910,posterior,3,GABRA4
806,30745,posterior,3,EPHA5
